"id_estoque","data","influencia_autor","plataforma","produto","categoria_produto","avaliacao","comentario"
"9532","2024-07-11","23342","Instagram","Impressora","Eletrônicos","4","Estou impressionado com a qualidade e a eficiência. #Impressora"
"4717","2023-03-19","11127","X (Twitter)","Batedeira","Eletrodomésticos","3","Produto bom, mas nada excepcional. #Batedeira"
"7579","2023-12-22","15722","X (Twitter)","Impressora","Eletrônicos","5","Muito satisfeito com a compra! Superou as expectativas. #Impressora"
"3830","2022-11-27","8202","X (Twitter)","Aparelho de som","Eletrônicos","5","Produto de ótima qualidade! Vale cada centavo. #Aparelhodesom"
"6265","2023-08-30","91085","X (Twitter)","Micro-ondas","Eletrodomésticos","4","Produto de ótima qualidade! Vale cada centavo. #Micro-ondas"
"4376","2023-01-12","38570","Facebook","Chuveiro elétrico","Eletrodomésticos","5","Atendeu todas as minhas necessidades. Recomendo! #Chuveiroeletrico"
"286","2021-10-31","7063","TikTok","Micro-ondas","Eletrodomésticos","4","Produto excelente! Recomendo muito. #Micro-ondas"
"8339","2024-04-04","57382","X (Twitter)","Ventilador de mesa","Eletrodomésticos","5","Produto de ótima qualidade! Vale cada centavo. #Ventiladordemesa"
"4569","2023-02-25","13561","Instagram","Fritadeira elétrica","Eletrodomésticos","4","Entrega rápida e produto conforme descrito. #Fritadeiraeletrica"
"3039","2022-08-06","17547","X (Twitter)","Ventilador de teto","Eletrodomésticos","5","Entrega rápida e produto conforme descrito. #Ventiladordeteto"
